epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,34469,0.55535,0.30092,0.91017,0.98942,0.98928,0.99449,0.89675,0.52382,0.21742,0.89378,0.00716,0.00716,0.00716
73,34903.7,0.55671,0.29836,0.91153,0.98942,0.98922,0.99449,0.8973,0.52256,0.21663,0.89335,0.00712,0.00712,0.00712
74,35338.7,0.55502,0.29796,0.90855,0.98942,0.98915,0.99451,0.89749,0.5222,0.21603,0.89314,0.00708,0.00708,0.00708
75,35774.1,0.55622,0.298,0.90879,0.98942,0.98909,0.99451,0.89768,0.52135,0.21544,0.8929,0.00704,0.00704,0.00704
76,36210.9,0.55486,0.29737,0.91,0.98942,0.9892,0.9945,0.89862,0.52111,0.21551,0.89296,0.007,0.007,0.007
77,36646,0.55376,0.29612,0.91161,0.98942,0.9891,0.99449,0.89834,0.52115,0.21621,0.89298,0.00696,0.00696,0.00696
78,37081.9,0.55518,0.29733,0.90919,0.98943,0.98894,0.99449,0.89811,0.52169,0.21671,0.89297,0.00692,0.00692,0.00692
79,37516.8,0.55469,0.29482,0.91037,0.9899,0.98938,0.99449,0.89799,0.52189,0.21577,0.89287,0.00688,0.00688,0.00688
80,37947.8,0.5543,0.29377,0.91047,0.9899,0.98938,0.99449,0.89806,0.52245,0.21648,0.89301,0.00684,0.00684,0.00684
81,38380.2,0.55416,0.29544,0.91074,0.98914,0.98942,0.9945,0.89754,0.52265,0.2167,0.89286,0.0068,0.0068,0.0068
82,38813.9,0.5515,0.29276,0.90953,0.98964,0.98942,0.9945,0.89811,0.52246,0.21668,0.89269,0.00676,0.00676,0.00676
83,39244.5,0.55329,0.29472,0.90961,0.98942,0.98945,0.9945,0.89828,0.52174,0.21564,0.89269,0.00672,0.00672,0.00672
84,39675.7,0.55301,0.29438,0.91012,0.98946,0.98942,0.99451,0.89744,0.52124,0.2168,0.89259,0.00668,0.00668,0.00668
85,40104.9,0.55095,0.29318,0.90658,0.98947,0.98942,0.99451,0.89799,0.52123,0.21676,0.8926,0.00664,0.00664,0.00664
86,40535.5,0.55202,0.29226,0.90939,0.98966,0.9899,0.99451,0.89699,0.52193,0.21596,0.89286,0.0066,0.0066,0.0066
87,40966,0.55097,0.29223,0.90746,0.98961,0.9899,0.99451,0.89759,0.52208,0.21634,0.89283,0.00656,0.00656,0.00656
88,41396.1,0.5503,0.29155,0.90997,0.9897,0.9899,0.99451,0.89689,0.52259,0.21541,0.89301,0.00652,0.00652,0.00652
89,41826.2,0.5519,0.29201,0.91256,0.98964,0.9899,0.9945,0.89681,0.52384,0.21619,0.89328,0.00648,0.00648,0.00648
90,42256.6,0.55145,0.29271,0.91068,0.98968,0.9899,0.99448,0.89545,0.52528,0.21677,0.89344,0.00644,0.00644,0.00644
91,42687.9,0.55101,0.29295,0.91149,0.98959,0.9899,0.99451,0.89581,0.52535,0.21675,0.89295,0.0064,0.0064,0.0064
92,43118.5,0.55155,0.29023,0.90943,0.98947,0.9899,0.9945,0.89595,0.52513,0.21689,0.89286,0.00636,0.00636,0.00636
93,43549.4,0.55189,0.29237,0.91059,0.9895,0.9899,0.99452,0.89583,0.52579,0.21735,0.89294,0.00632,0.00632,0.00632
94,43979.4,0.55036,0.29179,0.90934,0.98951,0.9899,0.99452,0.89648,0.52493,0.21739,0.89266,0.00628,0.00628,0.00628
95,44409.7,0.55001,0.28981,0.9101,0.98895,0.98969,0.9945,0.89681,0.52392,0.21668,0.89236,0.00624,0.00624,0.00624
96,44839.7,0.54963,0.28908,0.91031,0.98895,0.98995,0.99449,0.89711,0.52359,0.21695,0.89207,0.0062,0.0062,0.0062
97,45269.5,0.54994,0.28998,0.91068,0.98895,0.98945,0.99448,0.89672,0.52459,0.21721,0.89256,0.00616,0.00616,0.00616
98,45700.1,0.54995,0.28899,0.9092,0.98802,0.99094,0.99449,0.89694,0.52493,0.21713,0.89238,0.00612,0.00612,0.00612
99,46129,0.54835,0.2881,0.90851,0.9899,0.98941,0.99449,0.89775,0.52516,0.21781,0.89259,0.00608,0.00608,0.00608
100,46559.5,0.5463,0.28701,0.90755,0.9899,0.98942,0.99448,0.89759,0.52483,0.21636,0.89242,0.00604,0.00604,0.00604
101,46990.4,0.54852,0.28727,0.90904,0.9899,0.98938,0.99448,0.89742,0.52494,0.21585,0.8924,0.006,0.006,0.006
102,47427.3,0.54938,0.28741,0.91109,0.9899,0.98932,0.99447,0.89739,0.52486,0.21567,0.89225,0.00596,0.00596,0.00596
103,47861.3,0.54865,0.28813,0.91034,0.9899,0.98928,0.99446,0.89696,0.52487,0.21534,0.89208,0.00592,0.00592,0.00592
104,48295.8,0.54732,0.28805,0.91074,0.98961,0.98942,0.99446,0.89707,0.52465,0.21588,0.892,0.00588,0.00588,0.00588
105,48729.8,0.54919,0.287,0.91037,0.9897,0.98942,0.99447,0.89752,0.52414,0.21499,0.89191,0.00584,0.00584,0.00584
106,49163.8,0.54515,0.28562,0.90713,0.98804,0.99135,0.99446,0.89785,0.52393,0.21425,0.89227,0.0058,0.0058,0.0058
107,49597,0.54718,0.2867,0.9088,0.98797,0.99135,0.99445,0.89826,0.52329,0.21454,0.89201,0.00576,0.00576,0.00576
108,50030.1,0.54751,0.28652,0.90927,0.98802,0.99135,0.99446,0.89811,0.52252,0.21431,0.89189,0.00572,0.00572,0.00572
109,50463.9,0.54723,0.28428,0.90816,0.98849,0.99071,0.99448,0.89848,0.52164,0.21469,0.89164,0.00568,0.00568,0.00568
110,50899.3,0.54716,0.28637,0.90641,0.98846,0.99087,0.99449,0.89779,0.5215,0.2144,0.89161,0.00564,0.00564,0.00564
111,51333.3,0.54758,0.28663,0.9092,0.9884,0.99087,0.99447,0.89829,0.52203,0.21374,0.89178,0.0056,0.0056,0.0056
112,51766.5,0.54394,0.28247,0.90757,0.98984,0.9899,0.99449,0.89881,0.52179,0.21403,0.89186,0.00556,0.00556,0.00556
113,52200.8,0.54337,0.28482,0.90655,0.98957,0.9899,0.9945,0.89808,0.52244,0.21355,0.8921,0.00552,0.00552,0.00552
114,52634.4,0.54595,0.28428,0.90893,0.98943,0.99008,0.99451,0.89848,0.52189,0.21435,0.89194,0.00548,0.00548,0.00548
115,53067.9,0.54445,0.2832,0.90793,0.98943,0.99002,0.9945,0.89838,0.52131,0.21407,0.89166,0.00544,0.00544,0.00544
116,53502,0.54275,0.284,0.90789,0.98916,0.9899,0.9945,0.89939,0.52047,0.21448,0.89154,0.0054,0.0054,0.0054
117,53935.8,0.54407,0.28287,0.90893,0.98943,0.98981,0.9945,0.89986,0.52004,0.214,0.89155,0.00536,0.00536,0.00536
118,54370.1,0.54535,0.2832,0.90941,0.98905,0.98942,0.99449,0.89979,0.51942,0.21411,0.89168,0.00532,0.00532,0.00532
119,54803.9,0.54424,0.28247,0.90667,0.98963,0.98942,0.99448,0.90035,0.51883,0.21304,0.89149,0.00528,0.00528,0.00528
120,55238,0.54433,0.28393,0.90859,0.98959,0.98942,0.99448,0.89987,0.51921,0.21301,0.89165,0.00524,0.00524,0.00524
121,55673,0.54325,0.28292,0.90702,0.9893,0.98942,0.99447,0.89989,0.51894,0.21344,0.89144,0.0052,0.0052,0.0052
122,56106.1,0.54328,0.28267,0.90593,0.98925,0.98942,0.99446,0.89956,0.51837,0.21318,0.89126,0.00516,0.00516,0.00516
123,56539.8,0.54338,0.28239,0.90405,0.98956,0.98942,0.99448,0.89951,0.51773,0.21264,0.89113,0.00512,0.00512,0.00512
124,56973.1,0.54261,0.28166,0.90664,0.98958,0.98942,0.99448,0.90013,0.51733,0.21321,0.89107,0.00508,0.00508,0.00508
125,57407.3,0.54267,0.28321,0.90791,0.98965,0.98942,0.99449,0.90024,0.51739,0.21279,0.89118,0.00504,0.00504,0.00504
126,57841.6,0.54153,0.28172,0.90612,0.9896,0.98942,0.99449,0.90031,0.51797,0.21233,0.89128,0.005,0.005,0.005
127,58274.8,0.5404,0.28271,0.90542,0.9899,0.98937,0.99448,0.90033,0.51755,0.21265,0.89109,0.00496,0.00496,0.00496
128,58708.2,0.54002,0.27983,0.90448,0.98957,0.98894,0.99448,0.90026,0.51796,0.21226,0.89115,0.00492,0.00492,0.00492
129,59142.8,0.54125,0.28136,0.90503,0.98931,0.98894,0.99448,0.90055,0.5169,0.2117,0.89083,0.00488,0.00488,0.00488
130,59575.5,0.54146,0.2806,0.90771,0.98989,0.98894,0.99449,0.90044,0.51599,0.2109,0.89045,0.00484,0.00484,0.00484
131,60006.7,0.54009,0.27917,0.90597,0.98989,0.98887,0.9945,0.90108,0.51566,0.21128,0.89006,0.0048,0.0048,0.0048
132,60438.7,0.5389,0.27907,0.90598,0.98989,0.98884,0.99451,0.9009,0.51532,0.21138,0.88984,0.00476,0.00476,0.00476
133,60871.3,0.54165,0.28114,0.90764,0.98989,0.98891,0.99451,0.90087,0.51595,0.21169,0.89004,0.00472,0.00472,0.00472
134,61304.8,0.53922,0.2796,0.90389,0.98966,0.98894,0.99451,0.90064,0.51621,0.21208,0.88988,0.00468,0.00468,0.00468
135,61737.6,0.53981,0.27943,0.90586,0.98971,0.98894,0.99452,0.90082,0.5161,0.21151,0.88992,0.00464,0.00464,0.00464
136,62170,0.53882,0.2779,0.90763,0.98894,0.98909,0.9945,0.9009,0.51638,0.21119,0.88989,0.0046,0.0046,0.0046
137,62604.4,0.54,0.27827,0.90623,0.98784,0.99087,0.99451,0.90108,0.51607,0.2107,0.88982,0.00456,0.00456,0.00456
